Date,Close
9/18/1981 16:00:00,0.15
9/21/1981 16:00:00,0.16
9/22/1981 16:00:00,0.15
9/23/1981 16:00:00,0.15
9/24/1981 16:00:00,0.15
9/25/1981 16:00:00,0.15
9/28/1981 16:00:00,0.14
9/29/1981 16:00:00,0.15
9/30/1981 16:00:00,0.15
10/1/1981 16:00:00,0.15
10/2/1981 16:00:00,0.15
10/5/1981 16:00:00,0.16
10/6/1981 16:00:00,0.15
10/7/1981 16:00:00,0.15
10/8/1981 16:00:00,0.16
10/9/1981 16:00:00,0.15
10/12/1981 16:00:00,0.15
10/13/1981 16:00:00,0.17
10/14/1981 16:00:00,0.18
10/15/1981 16:00:00,0.18
10/16/1981 16:00:00,0.18
10/19/1981 16:00:00,0.18
10/20/1981 16:00:00,0.19
10/21/1981 16:00:00,0.19
10/22/1981 16:00:00,0.19
10/23/1981 16:00:00,0.19
10/26/1981 16:00:00,0.19
10/27/1981 16:00:00,0.19
10/28/1981 16:00:00,0.21
10/29/1981 16:00:00,0.21
10/30/1981 16:00:00,0.21
11/2/1981 16:00:00,0.2
11/3/1981 16:00:00,0.2
11/4/1981 16:00:00,0.2
11/5/1981 16:00:00,0.2
11/6/1981 16:00:00,0.2
11/9/1981 16:00:00,0.2
11/10/1981 16:00:00,0.2
11/11/1981 16:00:00,0.21
11/12/1981 16:00:00,0.21
11/13/1981 16:00:00,0.21
11/16/1981 16:00:00,0.21
11/17/1981 16:00:00,0.21
11/18/1981 16:00:00,0.2
11/19/1981 16:00:00,0.21
11/20/1981 16:00:00,0.21
11/23/1981 16:00:00,0.21
11/24/1981 16:00:00,0.21
11/25/1981 16:00:00,0.21
11/27/1981 16:00:00,0.21
11/30/1981 16:00:00,0.22
12/1/1981 16:00:00,0.22
12/2/1981 16:00:00,0.22
12/3/1981 16:00:00,0.22
12/4/1981 16:00:00,0.22
12/7/1981 16:00:00,0.22
12/8/1981 16:00:00,0.22
12/9/1981 16:00:00,0.21
12/10/1981 16:00:00,0.21
12/11/1981 16:00:00,0.21
12/14/1981 16:00:00,0.21
12/15/1981 16:00:00,0.21
12/16/1981 16:00:00,0.21
12/17/1981 16:00:00,0.21
12/18/1981 16:00:00,0.22
12/21/1981 16:00:00,0.22
12/22/1981 16:00:00,0.21
12/23/1981 16:00:00,0.21
12/24/1981 16:00:00,0.21
12/28/1981 16:00:00,0.21
12/29/1981 16:00:00,0.21
12/30/1981 16:00:00,0.22
12/31/1981 16:00:00,0.22
1/4/1982 16:00:00,0.22
1/5/1982 16:00:00,0.21
1/6/1982 16:00:00,0.21
1/7/1982 16:00:00,0.21
1/8/1982 16:00:00,0.22
1/11/1982 16:00:00,0.22
1/12/1982 16:00:00,0.23
1/13/1982 16:00:00,0.22
1/14/1982 16:00:00,0.22
1/15/1982 16:00:00,0.22
1/18/1982 16:00:00,0.23
1/19/1982 16:00:00,0.22
1/20/1982 16:00:00,0.22
1/21/1982 16:00:00,0.22
1/22/1982 16:00:00,0.22
1/25/1982 16:00:00,0.21
1/26/1982 16:00:00,0.22
1/27/1982 16:00:00,0.22
1/28/1982 16:00:00,0.22
1/29/1982 16:00:00,0.23
2/1/1982 16:00:00,0.23
2/2/1982 16:00:00,0.23
2/3/1982 16:00:00,0.23
2/4/1982 16:00:00,0.23
2/5/1982 16:00:00,0.24
2/8/1982 16:00:00,0.23
2/9/1982 16:00:00,0.22
2/10/1982 16:00:00,0.22
2/11/1982 16:00:00,0.22
2/12/1982 16:00:00,0.22
2/16/1982 16:00:00,0.22
2/17/1982 16:00:00,0.22
2/18/1982 16:00:00,0.22
2/19/1982 16:00:00,0.22
2/22/1982 16:00:00,0.22
2/23/1982 16:00:00,0.22
2/24/1982 16:00:00,0.22
2/25/1982 16:00:00,0.22
2/26/1982 16:00:00,0.22
3/1/1982 16:00:00,0.22
3/2/1982 16:00:00,0.22
3/3/1982 16:00:00,0.22
3/4/1982 16:00:00,0.22
3/5/1982 16:00:00,0.22
3/8/1982 16:00:00,0.22
3/9/1982 16:00:00,0.2
3/10/1982 16:00:00,0.21
3/11/1982 16:00:00,0.2
3/12/1982 16:00:00,0.2
3/15/1982 16:00:00,0.2
3/16/1982 16:00:00,0.2
3/17/1982 16:00:00,0.19
3/18/1982 16:00:00,0.2
3/19/1982 16:00:00,0.21
3/22/1982 16:00:00,0.22
3/23/1982 16:00:00,0.22
3/24/1982 16:00:00,0.23
3/25/1982 16:00:00,0.23
3/26/1982 16:00:00,0.23
3/29/1982 16:00:00,0.23
3/30/1982 16:00:00,0.23
3/31/1982 16:00:00,0.23
4/1/1982 16:00:00,0.23
4/2/1982 16:00:00,0.23
4/5/1982 16:00:00,0.23
4/6/1982 16:00:00,0.24
4/7/1982 16:00:00,0.24
4/8/1982 16:00:00,0.24
4/12/1982 16:00:00,0.24
4/13/1982 16:00:00,0.23
4/14/1982 16:00:00,0.23
4/15/1982 16:00:00,0.23
4/16/1982 16:00:00,0.24
4/19/1982 16:00:00,0.24
4/20/1982 16:00:00,0.24
4/21/1982 16:00:00,0.23
4/22/1982 16:00:00,0.23
4/23/1982 16:00:00,0.23
4/26/1982 16:00:00,0.23
4/27/1982 16:00:00,0.22
4/28/1982 16:00:00,0.22
4/29/1982 16:00:00,0.22
4/30/1982 16:00:00,0.22
5/3/1982 16:00:00,0.22
5/4/1982 16:00:00,0.22
5/5/1982 16:00:00,0.23
5/6/1982 16:00:00,0.23
5/7/1982 16:00:00,0.23
5/10/1982 16:00:00,0.23
5/11/1982 16:00:00,0.24
